plot_id,longitude,latitude,basal_area,density,mean_dbh,max_dbh,cv_dbh,plot_area,elevation,mean_dbh_large,total_richness,total_simpson,AM,EM,cmi_mean,bio11_tmin,soil_ph_0_200,soil_n_0_200
1,120.432481042241,22.9766202864204,6.93734653050252,598.086124401914,10.6076923076923,33,57.0083965196715,0.043472,127,20.32,6,3.31380215612194,0.662706526768257,0.337293473231743,72.5,18.35,5.455,1.21675
2,120.490304404151,23.2476489073708,13.2688007524323,566.650330801274,11.8986486486486,79,106.610864515359,0.065296,466,27.4285714285714,10,2.74395265189085,0.953003134124454,0,129.5,16.55,5.1625,1.36625
3,120.461149870995,23.1933166127191,21.9555485650933,1116.57620985979,12.9177215189873,50.7,71.1878094325191,0.070752,327,36.7857142857143,7,1.85726968528145,0.939734161077126,0,100.4,17.45,5.47,1.18725
4,120.431689015628,23.1663986294549,11.88628720469,592.885375494071,13.7722222222222,36,59.6381206847402,0.06072,165,28.2666666666667,5,1.68008340079719,0.491782574940628,0.372894928304396,73,18.15,5.635,1.24075
5,120.403192337336,23.0304839668381,38.9430484615069,809.119677790564,18.1388888888889,107,93.922554970869,0.055616,79,50.0833333333333,5,1.53425931379668,0.989484889611802,0,61.7,18.45,5.685,1.30125
6,120.43243320193,23.0307657087563,2.86431344506149,308.050383351588,9.72222222222222,19.3,53.2975398597538,0.029216,64,15.9666666666667,2,1.85399658962303,1,0,60.9,18.65,5.835,1.063
7,120.95890185855001,23.3296128794226,38.765356391154,605.164066702528,23.3555555555556,60.8,71.3689270671918,0.059488,1891,52.7166666666667,5,1.42097794943477,0.082215740591457,0.917784259408543,235.8,8.05000000000001,5.175,3.30625
8,120.784611982812,22.4895216545095,80.8678489025486,998.157248157247,23.3615384615385,149,95.0791821332067,0.06512,1497,72,16,4.55913063184206,0.485950714558312,0.514049285441688,126.9,11.7500000000001,5.2475,2.02575
9,120.816307498485,22.4874010005581,67.2273357838995,1557.63239875389,18.2068181818182,90.2,81.5674814674685,0.056496,1233,59.95,20,7.18639489229432,0.493614555656064,0.264340665417084,141.5,12.2500000000001,5.2425,2.028
10,120.840651718687,22.4921218552595,30.9922155253888,997.340425531913,15.7833333333333,70,77.2859064215354,0.066176,600,46.6,21,5.13580748462601,0.239287559989136,0.757579424505899,125.4,16.85,5.4475,1.35825
11,120.872062656037,22.4898486413158,66.3344008272615,1197.7886977887,18.0102564102564,151,109.045473332692,0.06512,994,63.9571428571429,25,3.05551441684237,0.917139641393022,0.0796461524444347,125.1,15.15,5.13,1.66625
12,120.782110228705,22.4604652796945,61.8272467295962,1198.50852272727,16.8259259259259,110,115.607787698502,0.067584,862,65.8,28,4.04635531299111,0.392667213062349,0.537052420242806,111.9,15.95,5.3425,1.5595
13,120.813635974345,22.4625385251849,50.5670084776898,1024.32778489117,19.8953125,83.5,77.2840741970204,0.06248,957,57.3333333333333,16,5.91460299601105,0.4058680286791,0.57146139489509,116.7,15.95,5.3425,1.6465
14,120.842800767805,22.4626326802322,41.0489981133598,2312.54594462142,13.6496688741722,30.8,46.3107524972597,0.065296,702,29.5285714285714,34,10.2747708292813,0.607485804964689,0.321605352821575,109.1,16.15,5.37,1.31775
15,120.787463557439,22.4333743453114,3.9768319202762,472.215452108213,9.69032258064516,21,38.2932258257384,0.065648,1415,15,9,4.0015201217529,0.633352663873092,0,125.9,13.45,5.2775,2.16675
16,120.813569976974,22.4353570126923,43.9812593619862,638.653981677237,21.4827586206897,85,96.5424903429674,0.045408,507,60.46,11,4.96042391301051,0.650699956146026,0.32636073128298,123.9,16.65,5.5125,1.5765
17,120.842994866154,22.4355170327095,61.4844332575332,1906.52370884929,16.6247524752475,66.3,70.0376983972787,0.052976,728,53.76,20,3.82533102281471,1,0,111.3,16.85,5.3825,1.42925
18,120.9012541084,22.4358010315872,22.939250330657,217.932752179328,31.8571428571429,70,58.7539154248979,0.06424,561,50.4166666666667,4,2.47660906419855,0.341161700675359,0.108203493074666,112.2,17.15,5.3475,1.40425
19,120.784616105599,22.4083084364002,36.9223118758747,2101.73838700485,13.088813559322,37.5,55.5194746493722,0.056144,1388,33.95,25,3.66190219386299,0.865120480954553,0.130255625157661,133,12.85,5.235,1.824
20,120.811523654754,22.4062868779547,37.130037608661,619.55996131528,22.0707317073171,82.5,76.198375930629,0.066176,841,52.3571428571429,19,8.72703771824559,0.685972812797589,0.162245926628738,121,15.85,5.2825,1.7425
21,120.872010992051,22.4085323316522,14.1527720494796,467.710643015521,15.1074074074074,53,84.5310920911189,0.057728,559,36.1833333333333,11,6.12381790340579,0.836394330451728,0.163605669548272,116.6,17.05,5.5475,1.348
22,120.9013284123,22.4086018988077,21.1319623619179,1556.07583371402,11.6596330275229,30.5,52.3838833974543,0.070048,225,26.1,14,3.35491316461985,0.666597760180509,0.265716059213515,92.4,19.05,5.5625,1.35375
23,120.78237364969,22.3789737757016,22.4586487776414,1888.16518847006,11.1761467889908,29,46.306938565921,0.057728,603,26.1666666666667,19,7.25854809563499,0.665668730155762,0.321888473761367,115.1,16.95,5.4425,1.37575
24,120.813677401321,22.3814029417606,20.6479512444101,1179.24528301887,13.038961038961,40,56.1587439905754,0.065296,570,30.9857142857143,29,9.12481020585996,0.818995097893155,0.0901198650341406,103.9,17.05,5.455,1.55525
25,120.784718299208,22.3543462748492,26.1593879373084,1772.950636587,12.3692913385827,34.7,47.9244947227686,0.071632,817,29.2,38,14.7698482806571,0.64141960946226,0.349087840792001,136.5,16.45,5.4325,1.732
26,120.813818787491,22.3542907834698,39.1604970795693,1966.78321678322,11.8281481481481,117,90.4490036552716,0.06864,561,41.9285714285714,39,4.80308456474839,0.251930999968129,0.745646367084236,115.1,17.55,5.4625,1.3145
27,120.842952962942,22.3541994354002,61.8362995404581,1438.21022727273,16.5234567901235,106,100.877788355675,0.05632,464,65.4333333333333,20,4.0621051161109,0.367461194668364,0.632538805331636,81.6,18.45,5.455,1.31775
28,120.813836725125,22.3272777648863,33.2581464801231,1651.12665112665,13.8813725490196,40.1,57.8126703118095,0.061776,362,35.2166666666667,35,9.26134539783887,0.622350355063851,0.362265132120325,118.7,18.35,5.4625,1.1965
29,120.784915109394,22.3000628682607,30.3526369768769,3409.09090909092,10.0171717171717,25.5,36.1104612387012,0.05808,694,22.4333333333333,46,13.3557521272251,0.57704431042217,0.379075910880725,107.2,17.05,5.385,1.7705
